repository,file_path,change_count
pytest,src/_pytest/mark/expression.py,2
pytest,testing/test_mark_expression.py,2
pytest,src/_pytest/runner.py,2
pytest,testing/test_terminal.py,2
pytest,doc/en/example/reportingdemo.rst,2
pytest,doc/en/how-to/output.rst,2
pytest,src/_pytest/skipping.py,2
pytest,doc/en/conf.py,2
pytest,testing/plugins_integration/pytest.ini,2
pytest,changelog/14742.deprecation.rst,2
pytest,testing/test_parseopt.py,2
pytest,changelog/7940.bugfix.rst,2
pytest,changelog/14122.deprecation.rst,2
pytest,uv.lock,2
pytest,testing/test_debugging.py,2
pytest,testing/test_monkeypatch.py,2
pytest,src/_pytest/capture.py,2
pytest,doc/en/example/nonpython.rst,2
pytest,doc/en/how-to/assert.rst,2
pytest,src/_pytest/assertion/_guards.py,2
pytest,changelog/14220.bugfix.rst,2
pytest,changelog/14591.bugfix.rst,2
pytest,changelog/14606.bugfix.rst,2
pytest,changelog/14608.bugfix.rst,2
pytest,doc/en/announce/index.rst,2
pytest,doc/en/builtin.rst,2
pytest,doc/en/example/pythoncollection.rst,2
pytest,doc/en/getting-started.rst,2
pytest,changelog/10819.deprecation.rst,2
pytest,changelog/11022.doc.rst,2
pytest,changelog/11307.doc.rst,2
pytest,changelog/12376.feature.rst,2
pytest,changelog/13038.doc.rst,2
pytest,changelog/13155.doc.rst,2
pytest,changelog/13304.doc.rst,2
pytest,changelog/13484.bugfix.rst,2
pytest,changelog/13784.bugfix.rst,2
pytest,changelog/13817.bugfix.rst,2
pytest,changelog/13885.bugfix.rst,2
pytest,changelog/13902.doc.rst,2
pytest,changelog/14004.bugfix.rst,2
pytest,changelog/14080.bugfix.rst,2
pytest,changelog/14148.doc.rst,2
pytest,changelog/14161.bugfix.rst,2
pytest,changelog/14214.bugfix.rst,2
pytest,changelog/14263.bugfix.rst,2
